ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"310000-390000","Service Occupations","390000","Personal Care & Service Occupations","390000","Personal Care & Service Occupations","393031","Ushers, lobby attendants, & ticket takers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1268,874.243765151817,8843.186119873817,3814.2822546687225,15,"ushers-lobby-attendants-ticket-takers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537081","Refuse & recyclable material collectors",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",693,646.3092467407658,18058.56277056277,9290.216150397124,7,"refuse-recyclable-material-collectors","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537065","Stockers and order fillers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",11968,2685.765962597463,21939.036346925135,5396.79783236811,90,"stockers-and-order-fillers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",11852,2672.7193952882753,18543.6245359433,2731.5814255133264,80,"packers-packagers-hand","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",131544,8900.597026041598,56918.65665480751,2782.391461669769,1144,"general-operations-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537063","Machine feeders & offbearers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1136,827.4890858518576,9285.862676056338,6601.506558267273,6,"machine-feeders-offbearers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537062","Laborers & freight, stock, & material movers, hand",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",23368,3752.766885543603,21674.713497090037,2675.098983386942,193,"laborers-freight-stock-material-movers-hand","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537061","Cleaners of vehicles & equipment",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1820,1047.3885193725212,26594.686813186814,5310.157171973929,12,"cleaners-of-vehicles-equipment","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",3732,1499.8235055268988,39577.67175777063,5771.483570272155,30,"industrial-truck-tractor-operators","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",16502,3153.690579523554,149314.98545630832,27376.078513970813,159,"chief-executives-legislators","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","536021","Parking lot attendants",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2166,1142.617414515486,9821.802862419207,4989.988348303406,10,"parking-lot-attendants","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","533030","Driver/sales workers & truck drivers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",247631,12207.23488408823,19222.03793951484,922.1124904702028,2045,"driversales-workers-truck-drivers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","531000","Supervisors of transportation & material moving workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1154,834.0190814691606,45477.69670710572,17085.947523987597,10,"supervisors-of-transportation-material-moving-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5191XX","Miscellaneous production workers, including semiconductor processors",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",5611,1839.0212318974552,25128.038495811797,5995.489449310138,37,"miscellaneous-production-workers-including-semiconductor-processors","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",8721,2292.689462626391,72000.83109735123,26238.47405897068,91,"marketing-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",16783,3180.4251459258403,76511.65429303462,5423.302915012442,135,"sales-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519195","Molders, shapers, & casters, except metal & plastic",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1039,791.3726253312312,1835.665062560154,811.4939324934609,7,"molders-shapers-casters-except-metal-plastic","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519061","Inspectors, testers, sorters, samplers, & weighers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1195,848.70541990974,35594.804184100416,17459.012834747893,15,"inspectors-testers-sorters-samplers-weighers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519020","Crushing, grinding, polishing, mixing, & blending workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",440,514.991970531949,10901.845454545455,9228.809266419747,5,"crushing-grinding-polishing-mixing-blending-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","518021","Stationary engineers & boiler operators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1433,929.3852432989473,32536.463363572922,20108.712124910806,13,"stationary-engineers-boiler-operators","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514120","Welding, soldering, & brazing workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",410,497.1255580417242,40842.634146341465,25290.92486138147,6,"welding-soldering-brazing-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513099","Food processing workers, all other",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1395,916.9799425899291,8040.387813620072,5868.468564109806,11,"food-processing-workers-all-other","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113013","Facilities managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",1882,1065.0790315292843,74134.69341126461,17802.213704763504,17,"facilities-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513093","Food cooking machine operators & tenders",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",4318,1613.2802085403198,18133.193608151923,4400.153854267148,37,"food-cooking-machine-operators-tenders","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513092","Food batchmakers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",7066,2063.722561660268,9632.436456269459,2927.4811685302047,63,"food-batchmakers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513091","Food & tobacco roasting, baking, & drying machine operators & tenders",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",998,775.6013918377146,29458.89278557114,12415.961210366613,11,"food-tobacco-roasting-baking-drying-machine-operators-tenders","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513020","Butchers & other meat, poultry, & fish processing workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",6420,1967.1294845811838,20404.571183800625,4613.887739162578,52,"butchers-other-meat-poultry-fish-processing-workers","Restaurants & Food Services","722Z","restaurants-food-services"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113021","Computer & information systems managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2612,1254.7510020345585,93528.78943338439,39636.51912993622,30,"computer-information-systems-managers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513011","Bakers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",50719,5528.234052554523,20595.161458230643,2680.348698080446,429,"bakers","Restaurants & Food Services","722Z","restaurants-food-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5120XX","Other assemblers and fabricators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","72","Accommodation & Food Services","true","true",2175,1144.988778136369,20097.143448275863,7265.33769498981,11,"other-assemblers-and-fabricators","Restaurants & Food Services","722Z","restaurants-food-services"
