ID Gender,Gender,ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
2,"Female",2018,"2018","true","true",901,47779.29717445648,2447.5281297407737,92407,7460.929539763984,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
2,"Female",2016,"2016","true","true",778,41467.03091074323,2304.5867862600962,81428,7003.900920277681,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
2,"Female",2017,"2017","true","true",778,47281.59172838128,2469.355495507209,80613,6968.812273714151,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
2,"Female",2015,"2015","true","true",756,40646.36159903847,2045.8230669581997,79873,6936.713835816086,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
2,"Female",2014,"2014","true","true",703,39294.11661913965,1799.3495532854927,73993,6676.609179458128,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
1,"Male",2016,"2016","true","true",231,54151.029657477025,5650.074608949645,26334,3983.7661784302322,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
1,"Male",2018,"2018","true","true",226,62090.51494861414,8822.241042890751,25688,3934.6181579645217,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
1,"Male",2017,"2017","true","true",245,53647.217645625155,4385.676591430065,24618,3851.8108344028715,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
1,"Male",2014,"2014","true","true",216,50710.85064306459,4249.692787806678,21693,3615.772649093131,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
1,"Male",2015,"2015","true","true",195,56381.148646098685,4061.8692013946747,21198,3574.292599421488,"Flight attendants","532031","flight-attendants","Air transportation","481","air-transportation"
1,"Male",2016,"2016","true","true",1051,139133.25742545677,8125.723101433948,103933,7912.180900051676,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
1,"Male",2018,"2018","true","true",1083,171511.3359763394,10611.721006804888,102787,7868.546440291762,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
1,"Male",2017,"2017","true","true",1025,162723.89694574202,9947.322197528445,97405,7659.8832403676715,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
1,"Male",2015,"2015","true","true",912,128149.23530165535,8068.581123299783,85843,7191.130640974871,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
1,"Male",2014,"2014","true","true",843,129085.94839136128,7580.573614216804,78669,6884.227885921481,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
2,"Female",2016,"2016","true","true",74,97705.0234300666,19922.301303759672,8408,2251.171346054417,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
2,"Female",2017,"2017","true","true",71,139076.1830713422,30123.54740966984,8270,2232.622802583899,"Aircraft pilots & flight engineers","532010","aircraft-pilots-flight-engineers","Air transportation","481","air-transportation"
